X,X,X,6.3.2.
X,X,X,6.3.3.
6.3.1.,6.3.1.,6.3.1.,6.3.4.
6.3.2,6.3.2,6.3.2.,6.3.5.
6.3.3.,6.3.3.,6.3.3.,6.3.6.
X,X,6.3.4.,6.3.7.
6.4.1.,6.4.1.,6.4.1.,6.4.1.
X,X,X,6.4.2.
6.4.2.,6.4.2.,6.4.2.,6.4.3.
X,X,X,6.4.4.
6.4.3.,6.4.3.,6.4.3.,6.4.5.
6.4.4.,6.4.4.,6.4.4.,6.4.6.
5.4.5.,5.4.5.,X,X
X,X,X,6.4.7.
6.4.6.,6.4.6.,X,X
X,X,6.4.5.,6.4.8.
X,X,6.4.6.,X
7.1.1.,7.1.1.,7.1.1.,7.1.1.
7.1.2.,7.1.2.,7.1.2.,7.1.2.
7.1.3.,7.1.3.,7.1.3.,7.1.3.
7.1.4.,7.1.4.,7.1.4.,7.1.4.
7.1.5.,7.1.5.,7.1.5.,7.1.5.
7.2.1.,7.2.1.,7.2.1.,7.2.1.
7.2.2.,7.2.2.,7.2.2.,X
7.2.3.,7.2.3.,7.2.3.,7.2.2.
7.2.4.,7.2.4.,7.2.4.,7.2.3.
X,X,X,7.2.4.
7.2.5.,7.2.5.,7.2.5.,7.2.5.
7.2.6.,7.2.6.,7.2.6.,7.2.6.
7.2.7.,7.2.7.,7.2.7.,7.2.7.
7.2.8.,7.2.8.,7.2.8.,7.2.8.
X,X,X,8.1.1.
8.1.1.,8.1.1.,8.1.1.,8.1.2.
8.1.2.,8.1.2.,8.1.2.,8.1.3.
8.1.3.,8.1.3.,8.1.3.,8.1.4.
8.1.4.,8.1.4.,X,8.1.6.
8.1.5.,8.1.5.,8.1.4.,8.1.7.
8.1.6.,8.1.6.,8.1.5.,8.1.8.
8.1.7.,8.1.7.,X,X
8.1.8.,8.1.8.,8.1.6.,8.1.9.
8.2.1.,8.2.1.,X,8.2.1.
8.2.2.,8.2.2.,X,8.2.2.
8.2.3.,8.2.3.,8.2.1,8.2.3.
8.2.4.,8.2.4.,8.2.2.,8.2.4.
